,no,store,sido_gungu,store_address,store_phone
0,001-001,강남역,서울 강남구,서울 강남구 역삼동 619-28,02 -596-1991
1,001-001,개포1호,서울 강남구,서울 강남구 개포동 1229-18,"02 -573-5699,5499"
2,001-001,개포2호,서울 강남구,서울 강남구 개포동 158-4,02 -5779667
3,001-001,논현1호(서울),서울 강남구,서울 강남구 논현동 164-16,02 -540-2182
4,001-001,대치1호,서울 강남구,서울 강남구 대치동936,02 -556-3599
5,001-001,대치2호,서울 강남구,서울 강남구 대치동 989-4,02 -556-9963
6,001-001,도곡,서울 강남구,서울 강남구 도곡동 416-4,02 -6494-0103
7,001-001,삼성1호,서울 강남구,서울 강남구 삼성동 44-18,02 -515-2399
8,001-001,세곡,서울 강남구,서울 강남구 자곡동 611,02 -2226-1991
9,001-001,압구정신사,서울 강남구,서울 강남구 신사동 640-5 대성빌딩 1층 1호,02 -547-9945
10,001-001,역삼1호,서울 강남구,서울 강남구 역삼동 837-15,02 -566-9942
11,001-001,일원1동,서울 강남구,서울 강남구 일원동 645,02 -459-1006
12,001-001,일원본동,서울 강남구,서울 강남구 수서동 747 삼성아파트 상가 104호,02 -2226-4080
13,001-001,청담역,서울 강남구,서울 강남구 청담동 65 진흥아파트상가,"02 -515-9995,515-9975"
14,001-002,강일,서울 강동구,서울 강동구 강일동 679-3 리슈빌오피스텔,"02 -426-6692,6696"
15,001-002,고덕1호(서울),서울 강동구,서울 강동구 고덕동 650-1,02 -481-9503~4
16,001-002,길1호,서울 강동구,서울 강동구 길동 347-31,02 -473-0092
17,001-002,길동역,서울 강동구,서울 강동구 길동 388-3,02 -478-6780
18,001-002,둔촌1호,서울 강동구,서울 강동구 둔촌동 454-5,02 -475-9295
19,001-002,명일1호,서울 강동구,서울 강동구 명일동 328-2,02 -3426-9199
20,001-002,상일,서울 강동구,서울 강동구 고덕동 200-3,02 -441-1991
21,001-002,상일2호,서울 강동구,서울 강동구 구천면로 640,02 -428-9266
22,001-002,성내,서울 강동구,서울 강동구 성내2동 509-7 1층,02 -485-9293
